,Type,LongestShell,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight,Rings
862,2,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,9
863,0,0.475,0.365,0.115,0.5660000000000001,0.281,0.1169999999999999,0.1335,7
864,1,0.545,0.43,0.13,0.7595,0.358,0.153,0.2055,8
865,0,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9
866,1,0.35,0.265,0.11,0.209,0.066,0.059,0.075,9
867,0,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,10
868,2,0.57,0.48,0.18,0.9395,0.3989999999999999,0.2,0.295,14
869,2,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,7
870,0,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17
871,2,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20
872,0,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19
873,2,0.5,0.39,0.125,0.5215,0.2485,0.1169999999999999,0.131,6
874,0,0.725,0.56,0.185,1.7919999999999998,0.873,0.367,0.435,11
875,1,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,8
876,1,0.53,0.425,0.13,0.7809999999999999,0.3905,0.2005,0.215,9
877,0,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10
878,0,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19
879,0,0.62,0.5,0.175,1.107,0.4895,0.24,0.3429999999999999,11
880,0,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,12
881,2,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,9
882,1,0.625,0.485,0.15,1.044,0.4379999999999999,0.2865,0.278,9
883,2,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13
884,1,0.335,0.26,0.085,0.192,0.0969999999999999,0.03,0.054,6
885,0,0.63,0.475,0.155,1.0005,0.452,0.252,0.265,10
886,2,0.615,0.475,0.205,1.337,0.5995,0.2815,0.37,11
887,1,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,8
888,1,0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455,8
889,1,0.435,0.335,0.11,0.3339999999999999,0.1355,0.0775,0.0965,7
890,2,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
891,1,0.35,0.28,0.075,0.196,0.0819999999999999,0.04,0.064,8
892,2,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11
893,2,0.605,0.5,0.175,1.098,0.4765,0.2319999999999999,0.375,12
894,2,0.745,0.575,0.2,1.884,0.954,0.336,0.495,12
895,0,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9
896,0,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18
897,1,0.28,0.21,0.075,0.1195,0.053,0.0265,0.03,6
898,0,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19
899,2,0.565,0.45,0.115,0.9085,0.3979999999999999,0.1969999999999999,0.29,17
900,2,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14
901,1,0.405,0.25,0.09,0.2875,0.128,0.063,0.0805,7
902,2,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16
903,0,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,10
904,0,0.66,0.5,0.155,1.3765,0.6485,0.288,0.335,12
905,0,0.545,0.43,0.16,0.8440000000000001,0.3945,0.1855,0.231,9
906,0,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,9
907,0,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,9
908,1,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,7
909,2,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6
910,0,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7
911,1,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7
912,2,0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,11
913,0,0.525,0.42,0.16,0.7559999999999999,0.2745,0.173,0.275,9
914,0,0.62,0.47,0.225,1.115,0.3779999999999999,0.2145,0.36,15
915,2,0.63,0.485,0.16,1.243,0.623,0.275,0.3,10
916,0,0.605,0.48,0.175,1.1685,0.4815,0.2305,0.356,9
917,1,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7
918,0,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13
919,0,0.52,0.405,0.14,0.6915,0.276,0.1369999999999999,0.215,11
920,2,0.705,0.56,0.165,1.675,0.797,0.4095,0.3879999999999999,10
921,2,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,8
922,0,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
923,1,0.555,0.435,0.145,0.6975,0.262,0.1575,0.24,11
924,2,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,14
925,0,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,7
926,2,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
927,0,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8
928,1,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7
929,1,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7
930,1,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6
931,0,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
932,2,0.645,0.505,0.185,1.463,0.5920000000000001,0.3905,0.416,10
933,1,0.42,0.32,0.115,0.376,0.1689999999999999,0.092,0.1,5
934,0,0.535,0.445,0.125,0.8725,0.417,0.1989999999999999,0.24,8
935,1,0.555,0.435,0.14,0.765,0.3945,0.15,0.206,8
936,1,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,4
937,2,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10
938,1,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4
939,2,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,13
940,0,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9
941,0,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
942,0,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,11
943,1,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6
944,2,0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975,9
945,2,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
946,1,0.6,0.445,0.175,1.057,0.3829999999999999,0.216,0.355,16
947,2,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,11
948,0,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,8
949,2,0.565,0.45,0.16,0.895,0.415,0.195,0.246,9
950,1,0.61,0.48,0.165,1.097,0.4215,0.264,0.335,13
951,2,0.62,0.48,0.165,1.0725,0.4815,0.235,0.312,9
952,2,0.575,0.465,0.15,1.08,0.595,0.2065,0.238,9
953,2,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23
954,2,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,15
955,0,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,7
956,2,0.625,0.495,0.175,1.2075,0.531,0.281,0.3525,11
957,0,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
958,2,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
959,2,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11
960,0,0.425,0.35,0.1,0.4425,0.175,0.0755,0.175,7
961,0,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,11
962,1,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,8
963,0,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10
964,2,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10
965,2,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
966,0,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8
967,0,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,11
968,0,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8
969,1,0.5,0.4,0.12,0.616,0.261,0.143,0.1935,8
970,2,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
971,1,0.475,0.365,0.115,0.499,0.2319999999999999,0.0885,0.156,10
972,1,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11
973,0,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,11
974,0,0.635,0.5,0.19,1.29,0.593,0.3045,0.352,8
975,1,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9
976,2,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,9
977,2,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17
978,0,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,10
979,0,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15
980,1,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9
981,0,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12
982,1,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13
983,1,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
984,2,0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,11
985,2,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315,9
986,1,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6
987,2,0.465,0.355,0.12,0.5315,0.2725,0.0969999999999999,0.1395,8
988,1,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,9
989,1,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12
990,0,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,11
991,0,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15
992,1,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
993,2,0.595,0.5,0.165,1.06,0.402,0.28,0.275,11
994,0,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11
995,0,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8
996,1,0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,9
997,0,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12
998,2,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13
999,2,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8
1000,1,0.605,0.49,0.165,1.071,0.482,0.1935,0.352,10
1001,1,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,6
1002,1,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,8
1003,2,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10
1004,1,0.575,0.475,0.17,0.967,0.3775,0.284,0.275,13
1005,2,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13
1006,1,0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,10
1007,2,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235,9
1008,2,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8
1009,2,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7
1010,0,0.53,0.415,0.16,0.7829999999999999,0.2935,0.158,0.245,15
1011,2,0.46,0.375,0.135,0.4935,0.186,0.0845,0.17,12
1012,2,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7
1013,2,0.55,0.44,0.16,0.991,0.348,0.168,0.375,20
1014,0,0.625,0.445,0.16,1.09,0.46,0.2965,0.304,11
1015,2,0.45,0.335,0.125,0.349,0.119,0.1055,0.115,10
1016,1,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
1017,2,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23
1018,2,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,10
1019,1,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8
1020,1,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8
1021,1,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,7
1022,1,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8
1023,2,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
1024,0,0.5,0.4,0.15,0.8085,0.273,0.1119999999999999,0.295,13
1025,0,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
1026,2,0.655,0.52,0.18,1.492,0.7185,0.36,0.355,11
1027,1,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10
1028,2,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
1029,0,0.585,0.465,0.14,0.908,0.381,0.1615,0.315,13
1030,1,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6
1031,2,0.565,0.44,0.175,1.122,0.3929999999999999,0.2,0.375,20
1032,2,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,10
1033,2,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9
1034,2,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12
1035,1,0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,9
1036,1,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7
1037,2,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,12
1038,0,0.635,0.51,0.17,1.2235,0.532,0.271,0.354,9
1039,2,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,11
1040,1,0.425,0.34,0.105,0.389,0.2015,0.0905,0.088,6
1041,2,0.605,0.475,0.15,1.15,0.575,0.2319999999999999,0.297,10
1042,1,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
1043,0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13
1044,1,0.455,0.335,0.105,0.422,0.2289999999999999,0.0865,0.1,6
1045,1,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,8
1046,2,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,10
1047,1,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9
1048,2,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13
1049,0,0.39,0.29,0.125,0.3055,0.121,0.0819999999999999,0.09,7
1050,0,0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745,9
1051,0,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9
1052,1,0.435,0.345,0.12,0.3215,0.13,0.0559999999999999,0.1185,7
1053,1,0.52,0.41,0.14,0.6990000000000001,0.3395,0.129,0.1945,10
1054,1,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7
1055,2,0.575,0.45,0.155,0.948,0.429,0.206,0.259,7
1056,2,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
1057,1,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6
1058,1,0.37,0.275,0.085,0.2045,0.096,0.0559999999999999,0.08,6
1059,1,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,8
1060,2,0.66,0.515,0.195,1.5655,0.7345,0.353,0.386,9
1061,1,0.47,0.355,0.12,0.3929999999999999,0.1669999999999999,0.0885,0.115,8
1062,0,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10
1063,1,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27,10
1064,0,0.62,0.51,0.175,1.2705,0.5415,0.3229999999999999,0.3225,9
1065,1,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,5
1066,1,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6
1067,1,0.405,0.3,0.09,0.2885,0.138,0.0635,0.0765,6
1068,2,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,16
1069,2,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,9
1070,1,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,7
1071,2,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,8
1072,0,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9
1073,2,0.515,0.395,0.135,1.007,0.472,0.2495,0.252,8
1074,1,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,11
1075,2,0.26,0.2,0.065,0.096,0.044,0.027,0.03,6
1076,1,0.545,0.4,0.13,0.6859999999999999,0.3285,0.1455,0.18,9
1077,2,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,6
1078,1,0.53,0.415,0.13,0.6940000000000001,0.3905,0.111,0.1669999999999999,9
1079,0,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5
1080,1,0.425,0.34,0.1,0.3515,0.1625,0.0819999999999999,0.094,7
1081,2,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5
1082,2,0.655,0.515,0.16,1.31,0.5529999999999999,0.369,0.345,11
1083,0,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
1084,2,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12
1085,0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8
1086,0,0.65,0.5,0.17,1.4045,0.6940000000000001,0.318,0.3235,11
1087,2,0.57,0.45,0.14,0.9275,0.477,0.1605,0.2515,8
1088,1,0.61,0.425,0.155,1.0485,0.507,0.1955,0.2739999999999999,11
1089,0,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
1090,1,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7
1091,0,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,16
1092,0,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15
1093,2,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
1094,0,0.615,0.455,0.135,1.0590000000000002,0.4735,0.263,0.2739999999999999,9
1095,2,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11
1096,0,0.585,0.485,0.15,1.079,0.4145,0.2115,0.356,11
1097,1,0.59,0.445,0.135,0.7715,0.3279999999999999,0.1745,0.23,9
1098,1,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,6
1099,2,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,18
1100,2,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12
1101,1,0.215,0.15,0.055,0.0409999999999999,0.015,0.009,0.0125,3
1102,0,0.62,0.435,0.155,1.012,0.477,0.236,0.275,8
1103,1,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,6
1104,2,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12
1105,1,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6
1106,0,0.555,0.455,0.18,0.958,0.296,0.195,0.39,14
1107,2,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,10
1108,2,0.75,0.55,0.18,1.893,0.942,0.397,0.445,11
1109,0,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9
1110,1,0.505,0.38,0.135,0.5385,0.2645,0.095,0.165,9
1111,1,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10
1112,2,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8
1113,1,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10
1114,1,0.46,0.36,0.14,0.447,0.161,0.087,0.16,9
1115,2,0.49,0.38,0.14,0.7605,0.245,0.1669999999999999,0.185,10
1116,2,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,10
1117,0,0.505,0.405,0.16,0.6835,0.271,0.145,0.215,10
1118,1,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6
1119,2,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8
1120,2,0.645,0.485,0.15,1.2215,0.5695,0.2735,0.33,9
1121,1,0.3,0.225,0.075,0.1345,0.057,0.0279999999999999,0.044,5
1122,2,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
1123,2,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
1124,2,0.6,0.475,0.19,1.0875,0.4029999999999999,0.2655,0.325,14
1125,2,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9
1126,1,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,8
1127,1,0.32,0.255,0.085,0.1745,0.072,0.033,0.057,8
1128,0,0.55,0.425,0.125,0.964,0.5475,0.159,0.215,8
1129,2,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8
1130,0,0.665,0.515,0.185,1.3405,0.5595,0.293,0.4375,11
1131,0,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
1132,2,0.56,0.44,0.13,0.8255,0.2425,0.2019999999999999,0.285,10
1133,1,0.495,0.38,0.13,0.5125,0.2185,0.1159999999999999,0.16,7
1134,0,0.45,0.35,0.135,0.56,0.231,0.1369999999999999,0.145,13
1135,2,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11
1136,0,0.66,0.475,0.18,1.3695,0.6409999999999999,0.294,0.335,6
1137,1,0.235,0.17,0.065,0.0625,0.023,0.0139999999999999,0.022,6
1138,2,0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,13
1139,1,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7
1140,2,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12
1141,2,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11
1142,2,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
1143,0,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8
1144,0,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,13
1145,0,0.695,0.565,0.19,1.7635,0.7465,0.3989999999999999,0.4975,11
1146,0,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17
1147,2,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17
1148,1,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11
1149,2,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8
1150,0,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14
1151,1,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,7
1152,2,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9
1153,0,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225,10
1154,0,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,13
1155,2,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,8
1156,0,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19
1157,0,0.655,0.525,0.175,1.348,0.5855,0.2605,0.3939999999999999,10
1158,1,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6
1159,0,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,9
1160,2,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
1161,2,0.425,0.305,0.11,0.359,0.173,0.0875,0.0975,9
1162,2,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15
1163,1,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7
1164,0,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13
1165,1,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245,6
1166,2,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9
1167,0,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14
1168,0,0.525,0.43,0.165,0.7170000000000001,0.289,0.1745,0.195,10
1169,1,0.255,0.185,0.065,0.074,0.0305,0.0165,0.02,4
1170,0,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,11
1171,1,0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,6
1172,2,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10
1173,0,0.62,0.49,0.16,1.056,0.493,0.244,0.2725,9
1174,1,0.375,0.245,0.1,0.3939999999999999,0.166,0.091,0.1125,6
1175,1,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6
1176,2,0.595,0.455,0.155,1.041,0.416,0.2105,0.365,14
1177,2,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,18
1178,0,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,8
1179,1,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,6
1180,0,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8
1181,0,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,10
1182,2,0.335,0.26,0.075,0.22,0.0855,0.04,0.085,6
1183,1,0.39,0.315,0.09,0.3095,0.147,0.05,0.09,7
1184,0,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10
1185,1,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6
1186,0,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
1187,0,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11
1188,2,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9
1189,1,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.1669999999999999,8
1190,1,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8
1191,1,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
1192,2,0.28,0.21,0.08,0.1085,0.0409999999999999,0.0265,0.0345,7
1193,2,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10
1194,2,0.6,0.475,0.175,1.3445,0.5489999999999999,0.2875,0.36,11
1195,1,0.52,0.41,0.145,0.6459999999999999,0.2965,0.1595,0.165,9
1196,2,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9
1197,1,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
1198,0,0.47,0.375,0.105,0.513,0.2319999999999999,0.142,0.13,11
1199,0,0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15
1200,2,0.53,0.43,0.135,0.879,0.28,0.2165,0.25,10
1201,0,0.725,0.6,0.2,1.737,0.6970000000000001,0.3585,0.595,11
1202,1,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,5
1203,2,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,9
1204,2,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,12
1205,1,0.35,0.26,0.075,0.18,0.09,0.0245,0.055,5
1206,1,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10
1207,2,0.54,0.405,0.125,0.8909999999999999,0.4815,0.1915,0.2019999999999999,9
1208,0,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
1209,1,0.47,0.35,0.135,0.5670000000000001,0.2315,0.1465,0.1525,11
1210,2,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15
1211,2,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23
1212,0,0.655,0.515,0.17,1.527,0.8485,0.2635,0.331,11
1213,2,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10
1214,2,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12
1215,1,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,6
1216,2,0.615,0.48,0.185,1.2205,0.4985,0.315,0.33,10
1217,1,0.29,0.225,0.07,0.1009999999999999,0.036,0.0235,0.035,8
1218,1,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8
1219,2,0.62,0.49,0.16,1.035,0.44,0.2525,0.285,11
1220,0,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9
1221,1,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,5
1222,0,0.65,0.515,0.215,1.4980000000000002,0.564,0.3229999999999999,0.425,16
1223,0,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
1224,0,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,13
1225,2,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,13
1226,2,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
1227,2,0.605,0.475,0.155,1.161,0.5720000000000001,0.2455,0.275,9
1228,0,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
1229,1,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
1230,1,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5
1231,0,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,6
1232,2,0.45,0.335,0.14,0.4625,0.1639999999999999,0.076,0.15,14
1233,2,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
